Experiment Name, 20210720_125352_Exp800.15_LAB_Q16.1_stds1..16
Amplification Raw Data:
Well1-Chan1,Well2-Chan1,Well3-Chan1,Well4-Chan1,Well5-Chan1,Well6-Chan1,Well7-Chan1,Well8-Chan1,Well9-Chan1,Well10-Chan1,Well11-Chan1,Well12-Chan1,Well13-Chan1,Well14-Chan1,Well15-Chan1,Well16-Chan1,
422.77, 601.41, 804.80, 5003.96, 5001.66, 4951.02, 4769.31, 4523.62, 3321.04, 605.24, 0.19, 665.99, 1430.63, 28.02, 31.45, -1.16, 
422.47, 591.70, 804.51, 5008.01, 4995.06, 4966.41, 4846.38, 4705.66, 3914.47, 1054.47, -9.52, 1043.54, 1626.14, 27.06, 19.06, 4.60, 
410.02, 583.29, 820.97, 5005.17, 4992.87, 4975.34, 4908.29, 4822.95, 4337.38, 1681.03, -11.21, 1546.32, 1845.13, 10.57, 24.09, -7.85, 
428.44, 580.19, 808.46, 5004.64, 4998.97, 4987.44, 4938.19, 4901.90, 4633.70, 2496.98, -16.32, 2198.53, 2171.74, 19.58, 18.30, -8.25, 
435.38, 584.44, 821.44, 5004.83, 4994.87, 4997.08, 4974.79, 4958.65, 4818.86, 3302.05, 2.04, 2891.90, 2363.02, 26.51, 46.75, -5.36, 












































































































































































































































































































































































































































































